Flight ID,Aircraft Type,Departure Airport,Arrival Airport,Distance (km),Duration (hours),Cruising Altitude (ft),Wind Speed (km/h),Temperature (°C),SAF Percentage,Jet A-1 Percentage,Fuel Consumption (liters),Passenger Load,Cargo Load (kg),CO2 Emissions (kg)
F0001,Boeing 777,LHR,MUC,2917,4.16,36890,116,36,0.0884470316341019,0.911552968365898,27629,126,6349,82695.94
F0002,Boeing 777,EDI,MXP,1067,1.38,31966,8,8,0.010644995736303864,0.9893550042636962,24324,346,9564,61440.55
F0003,Boeing 787,BLQ,BCN,11180,16.11,30009,64,3,0.006473756725273361,0.9935262432747266,25948,162,5351,82779.52
F0004,Airbus A350,FRA,LYS,6851,7.85,33703,49,0,0.02120386151144298,0.9787961384885571,33677,247,8512,92117.27
F0005,Boeing 777,NAP,LHR,8087,10.01,37432,81,-10,0.07037157572831162,0.9296284242716883,22371,234,7284,66366.41
F0006,Boeing 777,AMS,NCE,2568,4.13,35098,100,35,0.03850759437027854,0.9614924056297215,15167,108,7790,43447.68
F0007,Boeing 787,VIE,CPH,2398,2.84,33901,90,25,0.08115831738347735,0.9188416826165227,29359,148,3186,81959.29
F0008,Airbus A350,OPO,BSL,1517,2.43,37746,80,14,0.03292245461453652,0.9670775453854634,29997,177,8892,87639.24
F0009,Boeing 787,BRU,OSL,8453,13.18,37959,115,19,0.03752504424165914,0.9624749557583409,25760,81,899,73771.96
F0010,Boeing 787,EDI,NCE,758,1.18,37803,14,19,0.028988194509909884,0.9710118054900901,18191,212,8611,56792.01
F0011,Boeing 737,BRU,ANR,9023,13.47,32833,70,-7,0.06503154419270855,0.9349684558072915,11293,303,6030,32788.97
F0012,Boeing 777,MAN,CDG,4587,6.72,30825,109,-11,0.03195145080257311,0.9680485491974269,29034,314,8463,75500.93
F0013,Airbus A350,AGP,NCE,6539,10.21,34504,42,27,0.05033983918773291,0.9496601608122671,11250,259,9354,29753.99
F0014,Boeing 787,STN,GVA,4130,5.75,34285,53,34,0.08542235612746706,0.9145776438725329,30320,232,10667,86576.62
F0015,Airbus A350,FCO,LGW,4507,7.06,36276,2,-8,0.0831517606958672,0.9168482393041328,10475,112,3474,29889.34
F0016,Boeing 737,HEL,CDG,5237,7.17,34069,59,-13,0.0,1.0,11333,59,11486,31891.3
F0017,Boeing 777,LGW,BER,11016,12.91,31405,64,-6,0.010387199196624008,0.989612800803376,26580,274,10180,67029.58
F0018,Boeing 737,LIS,NCE,4249,5.09,35046,43,-8,0.056543148179692665,0.9434568518203074,5958,136,1360,18532.51
F0019,Boeing 737,VLC,OSL,1784,2.31,31411,40,3,0.0,1.0,27332,221,5543,85831.81
F0020,Boeing 737,SZG,EDI,6573,8.58,40923,91,37,0.0,1.0,24487,146,9354,68536.11
F0021,Boeing 737,BLQ,VLC,9343,12.95,33247,1,30,0.012094053692740038,0.9879059463072599,32476,276,9203,92186.95
F0022,Boeing 777,AMS,CDG,10119,13.65,35786,34,15,0.03345740055419114,0.9665425994458089,25090,288,10776,76727.08
F0023,Airbus A320,VIE,OSL,2033,2.79,30132,115,3,0.029490981591958343,0.9705090184080416,11681,217,3451,36544.29
F0024,Boeing 737,GVA,MUC,5785,6.54,39562,116,6,0.06344923071539767,0.9365507692846023,24193,147,5265,73129.32
F0025,Boeing 787,RTM,ORY,857,1.28,31000,4,22,0.0361959362315444,0.9638040637684556,9582,309,2766,28228.89
F0026,Airbus A320,ARN,MAD,9218,11.82,40735,8,18,0.0,1.0,13061,51,2874,32869.45
F0027,Airbus A350,LHR,AMS,5392,8.17,37840,119,29,0.0,1.0,34062,275,9966,99443.45
F0028,Airbus A320,DUS,ORY,4375,6.49,40635,53,19,0.06971369937997826,0.9302863006200217,13964,108,1312,42586.3
F0029,Boeing 777,ARN,ZRH,11625,13.84,39450,91,32,0.003910905519918728,0.9960890944800813,15764,294,7236,39970.91
F0030,Boeing 737,MUC,OSL,3229,3.81,35634,67,1,0.06035088280213773,0.9396491171978623,13796,298,7641,35033.37
F0031,Airbus A350,LIS,INN,7434,11.02,34246,8,-6,0.0,1.0,25462,79,6222,70482.6
F0032,Airbus A320,OPO,RTM,6003,9.92,39815,41,36,0.037730778320821834,0.9622692216791782,27404,159,7046,71662.32
F0033,Airbus A350,EIN,MAD,5492,8.28,34010,32,14,0.037867132827796315,0.9621328671722037,31734,311,4311,82476.32
F0034,Airbus A350,HEL,TLS,8242,10.81,40660,91,30,0.026992703377629126,0.9730072966223708,32670,80,3522,97208.26
F0035,Airbus A320,HAM,AMS,10358,15.67,37959,111,35,0.057644082894235595,0.9423559171057644,31051,271,2506,82173.86
F0036,Airbus A320,MUC,EIN,9921,15.25,39266,81,12,0.010194179578899966,0.9898058204211,9536,209,5264,24801.01
F0037,Airbus A320,FAO,HEL,6983,10.94,31143,4,37,0.01018605615951631,0.9898139438404837,13746,280,11438,38434.01
F0038,Boeing 737,NAP,EIN,585,0.84,39991,75,25,0.09647151836765004,0.90352848163235,18688,221,11453,56867.64
